Date,Totals
11/30/2022,"108,535,571,849"
12/31/2021,"104,029,375,706"
12/31/2020,"105,890,446,969"
12/31/2019,"73,536,345,315"
12/31/2018,"61,821,792,421"
12/31/2017,"46,107,666,542"
12/31/2016,"55,750,278,788"
12/31/2015,"57,333,751,899"
12/31/2014,"75,334,319,046"
12/31/2013,"90,073,641,743"
12/31/2012,"95,808,640,755"
12/31/2011,"92,585,525,384"
12/31/2010,"60,439,448,644"
12/31/2009,"42,300,847,722"
12/31/2008,"21,487,336,753"
12/31/2007,"9,833,092,338"
12/31/2006,"13,666,660,759"
12/31/2005,"34,714,264,905"
12/31/2004,"62,139,796,027"
12/31/2003,"71,912,955,980"
12/31/2002,"70,469,729,806"
12/31/2001,"59,901,804,093"
12/31/2000,"49,322,126,517"
12/31/1999,"57,496,136,237"
12/31/1998,"66,739,842,976"
12/31/1997,"52,568,901,205"
12/31/1996,"42,009,082,557"
12/31/1995,"41,586,611,940"
12/31/1994,"30,211,445,450"
12/31/1993,"29,139,537,930"
12/31/1992,"27,771,636,514"
12/31/1991,"26,664,291,722"
12/31/1990,"23,303,762,710"
12/31/1989,"24,649,990,786"
12/31/1988,"26,523,969,177"
12/31/1987,"30,618,322,055"
12/31/1986,"35,348,075,575"
12/31/1985,"37,665,035,197"
12/31/1984,"37,706,647,293"
